image_name,Building,Clothing,Door,Dress,Footwear,Furniture,Land vehicle,Plant,Sports_equipment,Tree,Vehicle,Wheel,Window,Pernah_khawatir/pernah_tidak_makan,Pengeluaran_pangan>70%_pengeluaran,Ada_pengeluaran_pakaian_dalam_setahun,Sebagian_besar_berlantai_tanah,Sebagian_besar_berdinding_bambu/kawat/kayu,Memiliki_jamban_sendiri,Penerangan_dari_listrik_450VA/bukan_listrik,bobot,persentase penduduk miskin,Persentase Rata-rata Pengeluaran Makanan Per Kapita,Rata-rata Pengeluaran Makanan Per Kapita,Pengeluaran Per Kapita,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0144059335330195,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.19603807,0.20316993,0.17847651,0.19418088,0.18558158,0.1924243,0.22665678,0.18558346,0.19717103,0.1895734,0.19759946,0.18041474,0.21310873,0.1813547,0.0,0.2274133,0.0,0.19144,0.19334768,0.0,0.2154973,0.17468907,0.17297134,0.2587297,0.20544688,0.19482112,0.2011962,0.19908169,0.1633928,0.19452874,0.18709008,0.19744802,0.1989094,0.19781876,0.18923625,0.1807852,0.21437961,0.17627609,0.19300807,0.1659929,0.1933997,0.17925131,0.0,0.19068736,0.0,0.0,0.19208449,0.24383043,0.18642454,0.0
2.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.028811867066039,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.3426535,0.33893138,0.27830315,0.3476293,0.2999332,0.31273383,0.32857665,0.32102886,0.3282749,0.32739398,0.29165956,0.29572374,0.3352673,0.3087346,0.0,0.3554656,0.0,0.3183453,0.29645142,0.0,0.33684972,0.2921693,0.29567847,0.4421666,0.27894473,0.30231205,0.3398644,0.31442395,0.28946644,0.30952844,0.32829526,0.33505553,0.33164003,0.28461245,0.34901616,0.30475745,0.3173457,0.26101473,0.35092375,0.27403715,0.28786793,0.31487915,0.0,0.32756126,0.0,0.0,0.31144482,0.3670948,0.32388815,0.0
3.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.028811867066039,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.27841634,0.27339283,0.27555048,0.29049683,0.28897035,0.26397523,0.2921454,0.26475218,0.3019075,0.26751393,0.28504428,0.2821419,0.2666797,0.28971797,0.0,0.31007382,0.0,0.29901677,0.26559502,0.0,0.28212693,0.2708414,0.2968574,0.29003593,0.30975834,0.3034031,0.26106012,0.2870344,0.2878785,0.25310987,0.28414422,0.26467618,0.26081493,0.28112128,0.2719033,0.2581865,0.27133018,0.29208505,0.29826826,0.272657,0.29574737,0.2923635,0.0,0.29181156,0.0,0.0,0.27410156,0.25745034,0.29637787,0.0
4.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.0098039215686274,0.4227861309809885,0.7581870578988733,0.7580057102103551,0.5013603221242791,1,0.26916873,0.25497147,0.23895131,0.2813638,0.25616276,0.2723214,0.26846766,0.26757044,0.24138904,0.27829787,0.23590454,0.23719203,0.26863945,0.25132686,0.0,0.28051552,0.0,0.24497224,0.23716949,0.0,0.2529319,0.24428162,0.24416605,0.3098913,0.26414776,0.25217456,0.26714963,0.25100687,0.25859526,0.26244298,0.26785436,0.2568097,0.24711835,0.2737236,0.27910984,0.24168256,0.25367704,0.25565344,0.27953312,0.239868,0.24748045,0.24517629,0.0,0.2729438,0.0,0.0,0.26759526,0.26953942,0.2513534,0.0
5.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.028811867066039,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.24437982,0.25576016,0.25504905,0.27333307,0.27237493,0.23532537,0.27220613,0.24633019,0.26129392,0.23775041,0.26636603,0.24642286,0.26208067,0.25745827,0.0,0.27342388,0.0,0.25015208,0.27595413,0.0,0.28657344,0.24736726,0.22989167,0.29636538,0.27195123,0.24616437,0.27906826,0.25856414,0.24714454,0.23565851,0.23580213,0.25892377,0.23898208,0.25185668,0.2350381,0.24622615,0.2716323,0.22955334,0.26012954,0.21481963,0.23233694,0.2724119,0.0,0.25511408,0.0,0.0,0.26454747,0.28711283,0.2538272,0.0
6.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.028811867066039,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.21174577,0.21116094,0.19736624,0.21777205,0.21380684,0.20157325,0.23417349,0.2129192,0.21150045,0.20754468,0.2141949,0.18803215,0.20921327,0.20016888,0.0,0.23565803,0.0,0.19774728,0.21636838,0.0,0.22979307,0.20068678,0.18372785,0.25759593,0.21848723,0.19397312,0.22082356,0.2196007,0.19708227,0.21301085,0.19978693,0.23668745,0.21592142,0.20599037,0.18573117,0.20490618,0.2217388,0.19850302,0.22341724,0.18024245,0.19327411,0.22075747,0.0,0.22270748,0.0,0.0,0.21161139,0.2511661,0.21271195,0.0
7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0144059335330195,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.22898772,0.22534588,0.21393184,0.24243836,0.23352422,0.21659653,0.2329066,0.23924583,0.21849728,0.22983676,0.2319853,0.23000997,0.23169012,0.21389042,0.0,0.2597624,0.0,0.23055245,0.22529143,0.0,0.24032488,0.20078154,0.22117767,0.25835,0.24638101,0.21599464,0.23177269,0.23323098,0.2095988,0.23326807,0.22540498,0.22117567,0.2284041,0.22716576,0.22036153,0.21662731,0.23223877,0.21183908,0.22148488,0.20357724,0.23620996,0.2291241,0.0,0.24086356,0.0,0.0,0.23406726,0.24490729,0.2166848,0.0
8.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0098039215686274,0.4227861309809885,0.7581870578988733,0.7580057102103551,0.5013603221242791,1,0.22380278,0.22596665,0.19960496,0.21858478,0.22805285,0.2229293,0.22857834,0.21871741,0.22088628,0.21692577,0.21882063,0.20465714,0.22264697,0.22286217,0.0,0.2471031,0.0,0.22026996,0.20944914,0.0,0.2198626,0.20833658,0.2198414,0.25277036,0.2501125,0.21781918,0.22601092,0.22006217,0.21275286,0.22058402,0.2129098,0.2090215,0.21939416,0.22384313,0.21016327,0.20828162,0.22406392,0.2276349,0.22921342,0.21206222,0.21630698,0.2223194,0.0,0.23054406,0.0,0.0,0.21355219,0.23222534,0.22856538,0.0
9.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.028811867066039,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.22177431,0.22709113,0.20039696,0.22281012,0.22296205,0.20986715,0.22247846,0.22059104,0.1908032,0.20590112,0.20461419,0.18914434,0.1940094,0.21278815,0.0,0.23883149,0.0,0.20206796,0.20343584,0.0,0.22015716,0.21251713,0.20249604,0.25079086,0.21616134,0.19843495,0.22656113,0.21486846,0.18965594,0.21597503,0.20858723,0.2033494,0.21167246,0.21056372,0.20569111,0.20084997,0.20803629,0.20274049,0.2200839,0.18699464,0.2026895,0.21541384,0.0,0.22481132,0.0,0.0,0.21728662,0.23165278,0.21117754,0.0
10.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.0144059335330195,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.19252306,0.21324815,0.18755041,0.19994505,0.20412137,0.17783156,0.22415772,0.19121304,0.20912142,0.21507251,0.200497,0.18382132,0.2139401,0.19786729,0.0,0.23707946,0.0,0.20461203,0.19352564,0.0,0.22038561,0.18530542,0.19771263,0.25250313,0.2205234,0.20742533,0.19945426,0.20946394,0.19146088,0.2018455,0.20124577,0.18958881,0.19904259,0.20955017,0.19280007,0.19033591,0.22028282,0.19893321,0.19604786,0.18864807,0.2060358,0.20486695,0.0,0.19135243,0.0,0.0,0.20025021,0.24319096,0.19769737,0.0
11.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.0144059335330195,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.24083263,0.25209028,0.23096235,0.24675849,0.2709294,0.24381962,0.23656459,0.23899576,0.2667297,0.25678128,0.25819254,0.25241116,0.25017232,0.26395658,0.0,0.26158446,0.0,0.254343,0.24446301,0.0,0.25585732,0.24394546,0.2595107,0.25902912,0.3045187,0.26872087,0.24331078,0.26030412,0.2474621,0.25176954,0.24979664,0.21775575,0.25843015,0.26954216,0.24150985,0.2512821,0.24895972,0.27663553,0.26454118,0.2488979,0.2629935,0.2710498,0.0,0.26696074,0.0,0.0,0.26340783,0.2482642,0.26637524,0.0
12.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.028811867066039,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.23155913,0.25024337,0.21208036,0.24401814,0.24967064,0.22881272,0.23300849,0.23177364,0.23212913,0.23965597,0.23837629,0.23308218,0.2377898,0.23597234,0.0,0.26489905,0.0,0.24818224,0.21583372,0.0,0.23469774,0.21964781,0.253232,0.26020092,0.24908116,0.23885556,0.23329523,0.22508907,0.22715797,0.2284922,0.24171564,0.21805461,0.23500478,0.23519015,0.23209041,0.22349735,0.23980637,0.2253282,0.24687724,0.23084328,0.23189029,0.2476626,0.0,0.25239643,0.0,0.0,0.23220941,0.23729622,0.23247434,0.0
13.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0144059335330195,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.28188345,0.3175445,0.29299906,0.3209805,0.33098143,0.3139092,0.30894384,0.31160066,0.34566027,0.32582006,0.32600486,0.31247178,0.32480508,0.33070895,0.0,0.35561788,0.0,0.3163405,0.28183004,0.0,0.33125818,0.28723797,0.3292911,0.36911723,0.33995035,0.34692582,0.3168959,0.31313238,0.32233125,0.31630465,0.32797444,0.30211523,0.30595526,0.31634158,0.31979558,0.28573266,0.3177003,0.3043623,0.3460082,0.30231792,0.30212453,0.31388408,0.0,0.3213532,0.0,0.0,0.31212595,0.32397974,0.33688423,0.0
14.jpg,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0.028811867066039,0.5311305175631926,0.2145664134136756,0.2145306729621775,0.2195015779736642,1,0.2206144,0.22746302,0.20596652,0.2211554,0.22283441,0.217939,0.22252192,0.21146044,0.20730115,0.2329728,0.21229511,0.20118126,0.21906914,0.21339843,0.0,0.2477049,0.0,0.21821058,0.2128295,0.0,0.22405505,0.19568853,0.22028556,0.25069165,0.22990085,0.21183126,0.22476296,0.21199483,0.21058165,0.21622781,0.22229877,0.2250617,0.21214868,0.2163839,0.20868208,0.21004859,0.22145124,0.21201086,0.2255878,0.21154498,0.21609604,0.22098213,0.0,0.23309904,0.0,0.0,0.21669036,0.22684695,0.2171243,0.0
