JAWA TIMUR, KAB. MALANG;10,23167202
JAWA TIMUR, KAB. PACITAN;14,11047366
JAWA TIMUR, KOTA MALANG;4,794719435
JAWA TIMUR, KAB. BANYUWANGI;7,503951711
JAWA TIMUR, KAB. BOJONEGORO;12,59155189
JAWA TIMUR, KOTA BATU;3,944205263
JAWA TIMUR, KAB. MAGETAN;9,92723447
JAWA TIMUR, KAB. BONDOWOSO;14,68772954
JAWA TIMUR, JEMBER;9,946335672
JAWA TIMUR, KOTA SURABAYA;5,269727525
JAWA TIMUR, KAB. PASURUAN;9,82639301
JAWA TIMUR, PACITAN;14,11047366
JAWA TIMUR, KAB. GRESIK;12,37126742
JAWA TIMUR, KAB. JEMBER;9,946335672
JAWA TIMUR, KAB. PONOROGO;9,247549307
JAWA TIMUR, KAB. LUMAJANG;9,174024045
JAWA TIMUR, KOTA PASURUAN;9,82639301
JAWA TIMUR, MALANG;4,794719435
JAWA TIMUR, KAB. PROBOLINGGO;19,18789132
JAWA TIMUR, MAGETAN;9,92723447
JAWA TIMUR, KAB. TRENGGALEK;11,40445861
JAWA TIMUR, KAB. JOMBANG;9,458453391
JAWA TIMUR, KOTA KEDIRI;7,75351057
JAWA TIMUR, BOJONEGORO;12,59155189
JAWA TIMUR, KOTA BLITAR;7,379136517
JAWA TIMUR, BANYUWANGI;7,503951711
JAWA TIMUR, KAB. BLITAR;9,013226923
JAWA TIMUR, KAB. LAMONGAN;12,0279089
JAWA TIMUR, KAB. TULUNGAGUNG;7,05492862
JAWA TIMUR, KAB. PAMEKASAN;15,90702649
JAWA TIMUR, KOTA MOJOKERTO;6,181044796
JAWA TIMUR, KAB. TUBAN;15,83984142
JAWA TIMUR, KAB. KEDIRI;11,06419983
JAWA TIMUR, KAB. SUMENEP;19,65634416
JAWA TIMUR, KAB. BANGKALAN;19,60590292
JAWA TIMUR, LUMAJANG;9,174024045
JAWA TIMUR, KAB. MOJOKERTO;10,55964174
JAWA TIMUR, KAB. NGAWI;14,84127966
JAWA TIMUR, KAB. SIDOARJO;6,485897016
JAWA TIMUR, KAB. SAMPANG;23,90925308
JAWA TIMUR, KAB. NGANJUK;11,16569579
JAWA TIMUR, KAB. SITUBONDO;12,52735632
JAWA TIMUR, BANGKALAN;19,60590292
JAWA TIMUR, JOMBANG;9,458453391
JAWA TIMUR, PONOROGO;9,247549307
JAWA TIMUR, SAMPANG;23,90925308
JAWA TIMUR, SUMENEP;19,65634416
JAWA TIMUR, KOTA MADIUN;10,6660916
JAWA TIMUR, TULUNGAGUNG;7,05492862
JAWA TIMUR, NGANJUK;11,16569579
JAWA TIMUR, SIDOARJO;6,485897016
JAWA TIMUR, LAMONGAN;12,0279089
JAWA TIMUR, BONDOWOSO;14,68772954
JAWA TIMUR, KAB. MADIUN;10,6660916
