image_name,Building,Clothing,Door,Dress,Footwear,Furniture,Land vehicle,Plant,Sports equipment,Tree,Vehicle,Wheel,Window,Pernah khawatir /pernah tidak makan,Pengeluaran pangan > 70% pengeluaran,Ada pengeluaran pakaian dalam setahun,Sebagian besar berlantai tanah,Sebagian besar berdinding bambu / kawat / kayu,Memiliki jamban sendiri,Penerangan dari listrik 450VA / bukan listrik,bobot,persentase penduduk miskin,label
1.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0170826458010699,14.68772954,1
2.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0341652916021398,14.68772954,1
3.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.0341652916021398,14.68772954,1
4.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.0117418068344413,12.37126742,1
5.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0341652916021398,14.68772954,1
6.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0.0341652916021398,14.68772954,1
7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0170826458010699,14.68772954,1
8.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0117418068344413,12.37126742,1
9.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0341652916021398,14.68772954,1
10.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.0170826458010699,14.68772954,1
11.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.0170826458010699,14.68772954,1
12.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0341652916021398,14.68772954,1
13.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0170826458010699,14.68772954,1
14.jpg,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0.0341652916021398,14.68772954,1
15.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0512479374032098,14.68772954,1
16.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0170826458010699,14.68772954,1
17.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0341652916021398,14.68772954,1
18.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0.0170826458010699,14.68772954,1
19.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0341652916021398,14.68772954,1
20.jpg,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0.0341652916021398,14.68772954,1
21.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0.0170826458010699,14.68772954,1
22.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0170826458010699,14.68772954,1
23.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0170826458010699,14.68772954,1
24.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.0341652916021398,14.68772954,1
25.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0170826458010699,14.68772954,1
26.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0170826458010699,14.68772954,1
27.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0.0170826458010699,14.68772954,1
28.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0333117935687374,14.68772954,1
29.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.0333117935687374,14.68772954,1
30.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0117418068344413,12.37126742,1
31.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0.0512479374032098,14.68772954,1
32.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0.0333117935687374,14.68772954,1
33.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0683305832042797,14.68772954,1
34.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0341652916021398,14.68772954,1
35.jpg,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0341652916021398,14.68772954,1
36.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0170826458010699,14.68772954,1
37.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0.0170826458010699,14.68772954,1
38.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0170826458010699,14.68772954,1
39.jpg,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0.0341652916021398,14.68772954,1
40.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0.0341652916021398,14.68772954,1
41.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0.0341652916021398,14.68772954,1
42.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0170826458010699,14.68772954,1
43.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.0512479374032098,14.68772954,1
44.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0512479374032098,14.68772954,1
45.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0170826458010699,14.68772954,1
46.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0.0512479374032098,14.68772954,1
47.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0.0512479374032098,14.68772954,1
48.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0170826458010699,14.68772954,1
49.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.0170826458010699,14.68772954,1
50.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0170826458010699,14.68772954,1
51.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0117418068344413,12.37126742,1
52.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0341652916021398,14.68772954,1
53.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0170826458010699,14.68772954,1
54.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0512479374032098,14.68772954,1
55.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0170826458010699,14.68772954,1
56.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.021011654335316,14.68772954,1
57.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0170826458010699,14.68772954,1
58.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.0170826458010699,14.68772954,1
59.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.0341652916021398,14.68772954,1
60.jpg,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0341652916021398,14.68772954,1
61.jpg,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0170826458010699,14.68772954,1
62.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.0683305832042797,14.68772954,1
63.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.0341652916021398,14.68772954,1
64.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0170826458010699,14.68772954,1
65.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.0170826458010699,14.68772954,1
66.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0683305832042797,14.68772954,1
67.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0117418068344413,12.37126742,1
68.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.0170826458010699,14.68772954,1
69.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0341652916021398,14.68772954,1
